Hallo;                      olá
Tschüss;                    adeus
bitte, gerne geschehen;     de nada
Guten Tag;                  bom dia
Guten Nachmittag;           boa tarde
Guten Abend;                boa noite
Name;                       o nome
Sohn;                       o filho
Tochter;                    a filha

Lehrer;                     o professor
Lehrerin;                   a professora
Haus;                       a casa
Herr;                       o senhor
Herrin;                     a senhora
Arzt;                       o médico
Ärztin;                     a médica
Schüler;                    o aluno
Schülerin;                  a aluna
Student;                    o estudante
Freund;                     o amigo
Freundin;                   a amiga
Chef, Leiter;               o diretor
Chefin, Leiterin;           a diretora
Sekretärin, Schreibtisch;   a secretária
Hauptstadt;                 a capital
Zahl, Anzahl;               o número
Wörterbuch, Lexikon;        o dicionário
Geld;                       o dinheiro
Freude, Spaß, Vergnügen;    o prazer
Gespräch, Unterhaltung;     o diálogo
Weg;                        a via
Reise, Ausflug, Fahrt;      a viagem
Anschrift;                  a morada
Platz, Raum, Abstand;       o espaço
Beruf;                      a profissão
Frage;                      a pergunta
Antwort;                    a resposta
Satz;                       a frase
Kollege;                    o colega
Jahr;                       o ano
Stunde;                     a hora
Unterricht, Vorlesung;      a aula
Anwalt;                     o advogado
Studium;                    o estudo
Bahnhof, Jahreszeit;        a estação
Auto;                       o carro
