Land;        a terra

Portugal;    o Portugal
Portugiese;  o português
Portugiesin; a portuguesa
Deutschland; a Alemanha
Deutscher;   o alemão
Deutsche;    a alemã

Brasilien;     o Brasil
Brasilianer;   o brasileiro
Brasilianerin; a brasileira

Vereinigte Staaten; os Estados Unidos

England;     a Inglaterra
englisch;    inglês
Engländer;   o inglês
Engländerin; a inglesa

Japan;     o Japão
Japaner;   o japonês
Japanerin; a japonesa

Schweiz;   a Suíça
Schweizer; o suíço

Belgien;   a Bélgica
Belgier;   o belga
Belgierin; a belga

Holland;   a Holanda
Holländer; o holandês

Spanien;   a Espanha
Spanier;   o espanhol
Spanierin; a espanhola

Frankreich;  a França
Französin;   a francesa
Franzose;    o francês
französisch; francês
