ledig;       solteiro
verheiratet; casada

passend, geeignet; adequado

gesund; são
krank; doente

fröhlich; alegra
traurig; triste

teuer; caro
billig; barato

einfach, leicht;   fácil
schwer, schwierig; difícil

schmutzig;    sujo
sauber, rein; limpo

hoch, groß;     alto
klein, niedrig; baixo

richtig; correto
falsch;  errado

klein; pequeno
groß;  grandé

kalt; frio
warm; quente

alt; velho
neu; novo

rot;  vermelho
grün; verde
blau; azul
gelb; amarelo

erzählen;  contar
fragen;    perguntar
rufen, nennen; chamar
schreiben; escrever

gehen (allgemein); ir
gehen (zu Fuß); andar
wandern; passear
rennen; correr
reisen; viajar
abfahren, abreisen, weggehen; patir
besuchen, aufsuchen; visitar

trinken; beber
essen; comer

spielen; jogar
sprechen; falar
wohnen, sich aufhalten; morar
besuchen; visitar
kaufen; comprar
öffnen; abrir
verbinden, verknüfen; juntar
ergänzen; completar
lernen; estudar
stehen, sich befinden; ficar
bedeuten, meinen; significar
verstehen; compreender
heißen; chamar-se
anordnen; ordenar
mögen; gostar
machen, tun; fazer
kochen; cozinhar

jede;                    cada
aber;                    mas
oder;                    ou
mehr;                    mais
viele;                   muitos
und;                     e
auch, ebenfalls;         também
gleichfalsls, ebenfalls; igualmente
weder ... noch;          nem ... nem
dann, folglich;          então
gut;                     bem
