0;   zero
1;   um, uma
2;   dois, duas
3;   três
4;   quatro
5;   cinco
6;   seis
7;   sete
8;   oito
9;   nove
10;  dez
11;  onze
12;  doze
13;  treze
14;  catorze
15;  quinze
16;  dezasseis
17;  dezassete
18;  dezoito
19;  dezanove
20;  vinte
30;  trinta
40;  quarenta
50;  cinquenta
60;  sessenta
70;  setenta
80;  oitenta
90;  noventa
100; cem, centro

Januar;     o janeiro
Februar;    o fevereiro
März;       o março
April;      o abril
Mai;        o maio
Juni;       o junho
Juli;       o julho
August;     o agosto
September;  o setembro
Oktober;    o outubro
November;   o novembro
Dezember;   o dezembro

Montag;     a segunda
Dienstag;   a terça
Mittwoch;   a quarta
Donnerstag; a quinta
Freitag;    a sexta
Samstag;    o sábado
Sonntag;    o domingo
