Seite; a página
Strand; a praia
Musik; a música
Sport; o desporto
Datum; a data
Instrument; o instrumento
Klavier; o piano
Geige; o violino
Trompete; a trombeta
Gitarre; a guitarra
Flöte; a flauta
Saxofon; o saxofone

Tennis; o ténis
Fussball; o futebol
Ball; a bola

Polizist; o pólicia
Ingenieur; o engenheiro
Architekt; o arquitecto
Präsident; presidente
Journalist; jornalista
Taxifahrer; taxista
Student; estudante
Maler; o pintor
Sekretärin; a secretária
Gärtner; o jardineiro
Arzt; o médico
Koch; o cozinheiro
Autofahrer; o motorista
Krankenpfleger; o enfermeiro
Schreiner; o carpinteiro
Feuerwehrmann; o bombeiro
Angestellter, Mitarbeiter; o empregado
Kellner; o empregado de mesa
Bauer; o agrícola

Gegensatz; o antónimo
