Bohnentopf mit Reis; a feijoada
gegrilltes Fleisch; o churrasco
Kabeljau; o bacalhau
Teller, Gericht; o prato
Essen, Mahlzeit; a refeição
Brot; o pão
Fleisch, Steak; a carne
Kochschinken; o fiambre
Käse; o queijo
Ei; o ovo
Spiegelei; o ovo estrelado
Chips, Pommes; as batatas fritas
Nudeln; a massa
Spaghetti; o esparguete
Pizza; a piza
Steak; o bife
Zuchini; a curgete
Fisch; o peixe
Hähnchen; a frango
Reis; o arroz
Gemüse; os legumes
Bohnen; o feijão
Obst; a fruta
Erdbeere; o morango
Apfel; a maçã
Ananas; o ananás
Kirsche; a cereja
Melone; o melão
Wassermelone; a melancia
Kokosnuss; o coco
Frühstück; o pequeno-almoço
Müsli; o musli
Tee; o chá
Toast; a torrada
Saft; o sumo
Milch; o leite
Espresso; a bica
Salat; a salada
Fruchtsalat; a salade de fruta
Orange; a laranja
nehmen, fassen; tomar
Hafer; a aveia
Haferflocken; os flocos de aveia
Butter; a manteiga
gefroren; gelado
Eis; o gelado
typisch; tipico
hier, da; aqui
Süßigkeit, Marlmelade; o doce
Imbiss; o lanche
normalerweise; normalmente

schlafen; dormir
öffnen, aufmachen; abrir
abfahren, wegfahren; partir
leben; viver

Abendessen; o jantar
zu Abend essen; jantar

Mittagessen; o almoço

wiederholen; repetir

weniger; menos
mehr; mais

hungrig; esfaimado
satt; cheio
durstig; sedento
