lesen; ler
auswählen; selecionar
sagen; dizer
können; poder
suchen; procurar


Frau; a mulher
Mann; o homem
Text; o texto
Bild; a imagem
Wort; a palavra

Gebäck; os bolos
Briefmarke; o selo
Film; o filme
Baum; a árvore
Fernsehr; a televisão
Jacke, Mantel; o casaco
Rechnung; a conta
Schuh; o sapato
Stiefel; a bota
Mitarbeiter; o empregado
Wasser; a água
Kleid; o vestido
Teil, Anteil; a parte
Telefon; o telefone
Regal; a estante
Sofa; o sofá
Kommode; a cómoda
Kühlschrank; o frigorífico
Herd; o fogão
Waschbecken, Toilette; o lavatório
Toilettenschüssel; a sanita
Spiegel; o espelho
Flur, Läufer; o corredor
Zentrum; o centro
Fluss; o rio

ganz; todo


dort, da; ali
gegenüber; em frente
innen, drin; dentro de
zwischen; entre
in diesem; neste, nesta
daneben; ao lado de
an, bei, daneben; junto a
auf, oben, darauf; em cima de
hinten; atrás de
unter; debaixo de
an; ao
weit weg von; longe de
nah, nahgelegen; perto
hier, da; aqui
in jener; naquele
für, zu, nach; para

ruhig; tranquilo
eng; estreito
breit; largo
